datetime,DCE.c1809.open,DCE.c1809.high,DCE.c1809.low,DCE.c1809.close,DCE.c1809.volume,DCE.c1809.open_oi,DCE.c1809.close_oi
2017-09-15 00:00:00.000000000,1766.0,1798.0,1766.0,1778.0,961,0,765
2017-09-18 00:00:00.000000000,1780.0,1780.0,1765.0,1766.0,3087,765,2877
2017-09-19 00:00:00.000000000,1767.0,1773.0,1764.0,1765.0,1188,2877,3568
2017-09-20 00:00:00.000000000,1765.0,1772.0,1761.0,1762.0,1725,3568,4637
2017-09-21 00:00:00.000000000,1764.0,1768.0,1761.0,1766.0,474,4637,4715
2017-09-22 00:00:00.000000000,1765.0,1779.0,1763.0,1766.0,5154,4715,7406
2017-09-25 00:00:00.000000000,1766.0,1768.0,1761.0,1765.0,654,7406,7530
2017-09-26 00:00:00.000000000,1765.0,1777.0,1764.0,1770.0,1644,7530,8065
2017-09-27 00:00:00.000000000,1769.0,1769.0,1764.0,1765.0,1070,8065,8459
2017-09-28 00:00:00.000000000,1765.0,1765.0,1755.0,1758.0,1333,8459,8153
2017-09-29 00:00:00.000000000,1755.0,1761.0,1754.0,1756.0,1004,8153,8048
2017-10-09 00:00:00.000000000,1761.0,1761.0,1738.0,1740.0,2744,8048,9146
2017-10-10 00:00:00.000000000,1743.0,1750.0,1743.0,1747.0,1382,9146,9931
2017-10-11 00:00:00.000000000,1748.0,1753.0,1743.0,1743.0,1566,9931,10722
2017-10-12 00:00:00.000000000,1745.0,1751.0,1745.0,1749.0,1258,10722,10931
2017-10-13 00:00:00.000000000,1754.0,1757.0,1751.0,1752.0,1486,10931,11237
2017-10-16 00:00:00.000000000,1755.0,1758.0,1749.0,1753.0,1373,11237,11870
2017-10-17 00:00:00.000000000,1751.0,1756.0,1748.0,1752.0,643,11870,12017
2017-10-18 00:00:00.000000000,1753.0,1758.0,1749.0,1749.0,1285,12017,12541
2017-10-19 00:00:00.000000000,1749.0,1749.0,1738.0,1746.0,2359,12541,13212
2017-10-20 00:00:00.000000000,1749.0,1749.0,1743.0,1745.0,315,13212,13280
2017-10-23 00:00:00.000000000,1741.0,1745.0,1739.0,1741.0,695,13280,13280
2017-10-24 00:00:00.000000000,1744.0,1748.0,1739.0,1741.0,1191,13280,13447
2017-10-25 00:00:00.000000000,1743.0,1751.0,1742.0,1749.0,1089,13447,13568
2017-10-26 00:00:00.000000000,1749.0,1749.0,1744.0,1746.0,733,13568,13766
2017-10-27 00:00:00.000000000,1748.0,1748.0,1738.0,1738.0,1806,13766,13557
2017-10-30 00:00:00.000000000,1738.0,1738.0,1726.0,1731.0,2028,13557,14578
2017-10-31 00:00:00.000000000,1730.0,1734.0,1728.0,1732.0,3974,14578,17064
2017-11-01 00:00:00.000000000,1731.0,1743.0,1729.0,1736.0,3042,17064,18106
2017-11-02 00:00:00.000000000,1736.0,1740.0,1735.0,1740.0,2404,18106,19427
2017-11-03 00:00:00.000000000,1740.0,1760.0,1738.0,1743.0,3403,19427,20211
2017-11-06 00:00:00.000000000,1743.0,1747.0,1741.0,1747.0,1667,20211,20722
2017-11-07 00:00:00.000000000,1747.0,1749.0,1742.0,1744.0,7042,20722,24350
2017-11-08 00:00:00.000000000,1746.0,1752.0,1742.0,1747.0,2569,24350,24725
2017-11-09 00:00:00.000000000,1748.0,1749.0,1742.0,1745.0,2731,24725,24312
2017-11-10 00:00:00.000000000,1742.0,1750.0,1739.0,1750.0,3023,24312,25340
2017-11-13 00:00:00.000000000,1751.0,1756.0,1746.0,1755.0,3083,25340,26605
2017-11-14 00:00:00.000000000,1755.0,1767.0,1750.0,1760.0,4808,26605,28346
2017-11-15 00:00:00.000000000,1755.0,1767.0,1750.0,1760.0,5936,28346,29364
2017-11-16 00:00:00.000000000,1764.0,1764.0,1741.0,1756.0,3252,29364,29492
2017-11-17 00:00:00.000000000,1756.0,1757.0,1745.0,1746.0,4508,29492,29416
2017-11-20 00:00:00.000000000,1751.0,1758.0,1750.0,1758.0,2926,29416,30117
2017-11-21 00:00:00.000000000,1762.0,1764.0,1756.0,1761.0,2442,30117,30609
2017-11-22 00:00:00.000000000,1763.0,1765.0,1756.0,1764.0,4156,30609,32781
2017-11-23 00:00:00.000000000,1765.0,1770.0,1765.0,1766.0,3566,32781,34428
2017-11-24 00:00:00.000000000,1767.0,1770.0,1759.0,1760.0,3876,34428,35370
2017-11-27 00:00:00.000000000,1760.0,1765.0,1760.0,1762.0,2666,35370,35359
2017-11-28 00:00:00.000000000,1762.0,1767.0,1762.0,1765.0,4192,35359,37258
2017-11-29 00:00:00.000000000,1765.0,1778.0,1765.0,1775.0,7583,37258,40520
2017-11-30 00:00:00.000000000,1777.0,1780.0,1769.0,1773.0,9686,40520,45047
2017-12-01 00:00:00.000000000,1773.0,1773.0,1764.0,1768.0,7388,45047,46288
2017-12-04 00:00:00.000000000,1770.0,1787.0,1770.0,1786.0,9092,46288,50543
2017-12-05 00:00:00.000000000,1781.0,1796.0,1780.0,1787.0,8987,50543,54475
2017-12-06 00:00:00.000000000,1790.0,1799.0,1789.0,1799.0,19706,54475,64329
2017-12-07 00:00:00.000000000,1796.0,1800.0,1778.0,1779.0,22389,64329,70140
2017-12-08 00:00:00.000000000,1783.0,1787.0,1777.0,1785.0,10919,70140,74581
2017-12-11 00:00:00.000000000,1788.0,1791.0,1776.0,1784.0,14215,74581,77665
2017-12-12 00:00:00.000000000,1781.0,1787.0,1777.0,1781.0,9717,77665,80984
2017-12-13 00:00:00.000000000,1781.0,1789.0,1780.0,1788.0,13084,80984,89754
2017-12-14 00:00:00.000000000,1788.0,1792.0,1787.0,1790.0,20043,89754,97431
2017-12-15 00:00:00.000000000,1795.0,1795.0,1788.0,1791.0,22004,97431,102832
2017-12-18 00:00:00.000000000,1793.0,1810.0,1793.0,1809.0,40005,102832,113327
2017-12-19 00:00:00.000000000,1812.0,1820.0,1803.0,1806.0,21622,113327,117027
2017-12-20 00:00:00.000000000,1810.0,1812.0,1802.0,1804.0,20396,117027,125882
2017-12-21 00:00:00.000000000,1805.0,1816.0,1805.0,1815.0,24039,125882,124926
2017-12-22 00:00:00.000000000,1818.0,1818.0,1804.0,1809.0,20124,124926,123167
2017-12-25 00:00:00.000000000,1808.0,1808.0,1791.0,1793.0,36463,123167,129154
2017-12-26 00:00:00.000000000,1797.0,1797.0,1781.0,1785.0,26846,129154,129493
2017-12-27 00:00:00.000000000,1790.0,1797.0,1789.0,1792.0,25041,129493,126574
2017-12-28 00:00:00.000000000,1792.0,1799.0,1786.0,1794.0,23808,126574,129433
2017-12-29 00:00:00.000000000,1795.0,1797.0,1788.0,1793.0,18993,129433,129229
2018-01-02 00:00:00.000000000,1792.0,1805.0,1792.0,1800.0,15154,129229,132499
2018-01-03 00:00:00.000000000,1803.0,1817.0,1803.0,1814.0,26240,132499,135984
2018-01-04 00:00:00.000000000,1816.0,1816.0,1806.0,1813.0,18761,135984,135897
2018-01-05 00:00:00.000000000,1813.0,1818.0,1811.0,1812.0,15061,135897,135176
2018-01-08 00:00:00.000000000,1809.0,1812.0,1798.0,1799.0,44541,135176,136591
2018-01-09 00:00:00.000000000,1798.0,1801.0,1792.0,1799.0,24110,136591,143052
2018-01-10 00:00:00.000000000,1799.0,1804.0,1796.0,1801.0,16834,143052,147888
2018-01-11 00:00:00.000000000,1800.0,1805.0,1792.0,1799.0,27242,147888,151197
2018-01-12 00:00:00.000000000,1797.0,1804.0,1791.0,1802.0,23872,151197,151398
2018-01-15 00:00:00.000000000,1805.0,1810.0,1797.0,1797.0,29728,151398,153238
2018-01-16 00:00:00.000000000,1798.0,1800.0,1793.0,1796.0,18547,153238,155675
2018-01-17 00:00:00.000000000,1796.0,1798.0,1793.0,1794.0,15017,155675,155749
2018-01-18 00:00:00.000000000,1795.0,1797.0,1788.0,1789.0,32445,155749,154856
2018-01-19 00:00:00.000000000,1790.0,1793.0,1782.0,1784.0,19407,154856,155394
2018-01-22 00:00:00.000000000,1782.0,1787.0,1778.0,1779.0,23756,155394,153946
2018-01-23 00:00:00.000000000,1780.0,1781.0,1760.0,1760.0,34016,153946,163312
2018-01-24 00:00:00.000000000,1761.0,1771.0,1761.0,1768.0,19713,163312,158998
2018-01-25 00:00:00.000000000,1770.0,1774.0,1767.0,1769.0,18409,158998,162105
2018-01-26 00:00:00.000000000,1769.0,1776.0,1766.0,1776.0,18485,162105,163010
2018-01-29 00:00:00.000000000,1776.0,1778.0,1771.0,1775.0,14471,163010,165670
2018-01-30 00:00:00.000000000,1775.0,1779.0,1772.0,1775.0,11044,165670,165583
2018-01-31 00:00:00.000000000,1774.0,1776.0,1768.0,1770.0,13859,165583,166239
2018-02-01 00:00:00.000000000,1771.0,1787.0,1769.0,1786.0,43013,166239,171903
2018-02-02 00:00:00.000000000,1785.0,1789.0,1782.0,1784.0,19616,171903,172552
2018-02-05 00:00:00.000000000,1788.0,1802.0,1788.0,1797.0,39778,172552,179045
2018-02-06 00:00:00.000000000,1795.0,1797.0,1790.0,1795.0,32282,179045,184749
2018-02-07 00:00:00.000000000,1798.0,1802.0,1792.0,1794.0,47025,184749,184766
2018-02-08 00:00:00.000000000,1794.0,1798.0,1791.0,1795.0,17499,184766,187355
2018-02-09 00:00:00.000000000,1795.0,1799.0,1785.0,1791.0,24606,187355,186365
2018-02-12 00:00:00.000000000,1789.0,1791.0,1782.0,1783.0,31058,186365,192643
2018-02-13 00:00:00.000000000,1785.0,1785.0,1769.0,1770.0,32329,192643,190017
2018-02-14 00:00:00.000000000,1773.0,1785.0,1767.0,1783.0,19441,190017,187139
2018-02-22 00:00:00.000000000,1785.0,1788.0,1780.0,1786.0,22327,187139,189277
2018-02-23 00:00:00.000000000,1788.0,1789.0,1778.0,1780.0,29104,189277,200634
2018-02-26 00:00:00.000000000,1782.0,1798.0,1782.0,1790.0,73981,200634,229034
2018-02-27 00:00:00.000000000,1791.0,1793.0,1785.0,1786.0,23533,229034,235833
2018-02-28 00:00:00.000000000,1788.0,1791.0,1784.0,1790.0,27270,235833,242838
2018-03-01 00:00:00.000000000,1795.0,1795.0,1780.0,1781.0,67434,242838,251092
2018-03-02 00:00:00.000000000,1783.0,1801.0,1782.0,1786.0,86880,251092,270904
2018-03-05 00:00:00.000000000,1788.0,1805.0,1787.0,1803.0,95838,270904,289795
2018-03-06 00:00:00.000000000,1805.0,1811.0,1802.0,1809.0,79905,289795,322378
2018-03-07 00:00:00.000000000,1805.0,1808.0,1784.0,1787.0,114199,322378,333560
2018-03-08 00:00:00.000000000,1783.0,1784.0,1770.0,1780.0,94864,333560,348431
2018-03-09 00:00:00.000000000,1783.0,1785.0,1770.0,1771.0,77478,348431,354350
2018-03-12 00:00:00.000000000,1770.0,1775.0,1762.0,1767.0,55856,354350,352165
2018-03-13 00:00:00.000000000,1768.0,1772.0,1765.0,1770.0,54729,352165,351895
2018-03-14 00:00:00.000000000,1768.0,1772.0,1766.0,1766.0,43195,351895,361085
2018-03-15 00:00:00.000000000,1764.0,1769.0,1762.0,1764.0,75995,361085,371542
2018-03-16 00:00:00.000000000,1766.0,1773.0,1765.0,1770.0,52349,371542,380120
2018-03-19 00:00:00.000000000,1771.0,1774.0,1762.0,1765.0,63096,380120,381882
2018-03-20 00:00:00.000000000,1766.0,1768.0,1755.0,1760.0,100539,381882,388907
2018-03-21 00:00:00.000000000,1760.0,1762.0,1755.0,1755.0,50638,388907,398509
2018-03-22 00:00:00.000000000,1755.0,1756.0,1743.0,1745.0,129465,398509,416407
2018-03-23 00:00:00.000000000,1744.0,1755.0,1739.0,1751.0,149613,416407,426584
2018-03-26 00:00:00.000000000,1756.0,1763.0,1744.0,1759.0,178462,426584,452002
2018-03-27 00:00:00.000000000,1759.0,1759.0,1741.0,1745.0,116585,452002,457830
2018-03-28 00:00:00.000000000,1745.0,1751.0,1740.0,1746.0,114557,457830,446271
2018-03-29 00:00:00.000000000,1745.0,1749.0,1741.0,1743.0,80639,446271,450265
2018-03-30 00:00:00.000000000,1748.0,1750.0,1741.0,1744.0,122791,450265,465692
2018-04-02 00:00:00.000000000,1746.0,1756.0,1735.0,1750.0,224075,465692,483885
2018-04-03 00:00:00.000000000,1749.0,1755.0,1744.0,1745.0,121036,483885,483025
2018-04-04 00:00:00.000000000,1746.0,1760.0,1746.0,1760.0,178990,483025,511027
2018-04-09 00:00:00.000000000,1764.0,1779.0,1755.0,1758.0,292735,511027,509282
2018-04-10 00:00:00.000000000,1759.0,1760.0,1748.0,1749.0,172501,509282,485413
2018-04-11 00:00:00.000000000,1750.0,1755.0,1747.0,1751.0,101952,485413,485270
2018-04-12 00:00:00.000000000,1747.0,1752.0,1742.0,1744.0,152712,485270,463352
2018-04-13 00:00:00.000000000,1744.0,1751.0,1741.0,1748.0,109692,463352,469059
2018-04-16 00:00:00.000000000,1746.0,1747.0,1741.0,1741.0,81480,469059,466076
2018-04-17 00:00:00.000000000,1741.0,1743.0,1735.0,1740.0,133145,466076,456255
2018-04-18 00:00:00.000000000,1740.0,1745.0,1737.0,1738.0,90061,456255,461521
2018-04-19 00:00:00.000000000,1738.0,1741.0,1733.0,1737.0,109409,461521,460917
2018-04-20 00:00:00.000000000,1739.0,1751.0,1738.0,1742.0,161724,460917,455423
2018-04-23 00:00:00.000000000,1744.0,1751.0,1740.0,1741.0,129030,455423,450980
2018-04-24 00:00:00.000000000,1742.0,1746.0,1738.0,1738.0,85180,450980,445168
2018-04-25 00:00:00.000000000,1738.0,1743.0,1734.0,1737.0,96516,445168,444722
2018-04-26 00:00:00.000000000,1737.0,1738.0,1724.0,1727.0,155960,444722,449581
2018-04-27 00:00:00.000000000,1728.0,1734.0,1724.0,1731.0,114367,449581,432880
2018-05-02 00:00:00.000000000,1732.0,1741.0,1728.0,1736.0,123302,432880,431483
2018-05-03 00:00:00.000000000,1737.0,1740.0,1732.0,1739.0,92693,431483,432714
2018-05-04 00:00:00.000000000,1739.0,1747.0,1735.0,1744.0,121947,432714,425728
2018-05-07 00:00:00.000000000,1744.0,1746.0,1736.0,1742.0,108906,425728,412759
2018-05-08 00:00:00.000000000,1742.0,1746.0,1738.0,1744.0,105409,412759,400940
2018-05-09 00:00:00.000000000,1746.0,1752.0,1744.0,1747.0,94664,400940,406747
2018-05-10 00:00:00.000000000,1749.0,1756.0,1748.0,1752.0,93916,406747,401257
2018-05-11 00:00:00.000000000,1752.0,1755.0,1748.0,1754.0,68799,401257,394353
2018-05-14 00:00:00.000000000,1754.0,1770.0,1752.0,1763.0,182030,394353,392750
2018-05-15 00:00:00.000000000,1762.0,1767.0,1757.0,1767.0,111279,392750,394164
2018-05-16 00:00:00.000000000,1766.0,1771.0,1765.0,1770.0,96108,394164,398812
2018-05-17 00:00:00.000000000,1769.0,1775.0,1765.0,1768.0,115434,398812,401792
2018-05-18 00:00:00.000000000,1770.0,1773.0,1752.0,1772.0,186815,401792,388003
2018-05-21 00:00:00.000000000,1774.0,1782.0,1763.0,1780.0,166473,388003,400918
2018-05-22 00:00:00.000000000,1779.0,1780.0,1768.0,1769.0,93569,400918,397127
2018-05-23 00:00:00.000000000,1769.0,1776.0,1760.0,1764.0,148879,397127,385334
2018-05-24 00:00:00.000000000,1766.0,1794.0,1766.0,1785.0,266490,385334,418492
2018-05-25 00:00:00.000000000,1785.0,1785.0,1775.0,1779.0,103806,418492,407661
2018-05-28 00:00:00.000000000,1779.0,1792.0,1777.0,1784.0,128658,407661,414418
2018-05-29 00:00:00.000000000,1784.0,1792.0,1779.0,1788.0,141362,414418,421577
2018-05-30 00:00:00.000000000,1784.0,1795.0,1778.0,1780.0,159906,421577,411706
2018-05-31 00:00:00.000000000,1784.0,1788.0,1774.0,1777.0,137259,411706,409687
2018-06-01 00:00:00.000000000,1778.0,1783.0,1765.0,1768.0,170904,409687,392753
2018-06-04 00:00:00.000000000,1769.0,1773.0,1762.0,1768.0,96692,392753,392479
2018-06-05 00:00:00.000000000,1765.0,1767.0,1758.0,1762.0,153913,392479,364692
2018-06-06 00:00:00.000000000,1764.0,1766.0,1760.0,1763.0,61413,364692,360501
2018-06-07 00:00:00.000000000,1760.0,1769.0,1760.0,1767.0,80539,360501,353310
2018-06-08 00:00:00.000000000,1766.0,1771.0,1754.0,1755.0,151054,353310,322345
2018-06-11 00:00:00.000000000,1755.0,1759.0,1752.0,1753.0,87211,322345,308479
2018-06-12 00:00:00.000000000,1752.0,1756.0,1751.0,1753.0,67074,308479,303336
2018-06-13 00:00:00.000000000,1753.0,1762.0,1752.0,1756.0,88728,303336,304406
2018-06-14 00:00:00.000000000,1756.0,1764.0,1753.0,1763.0,83751,304406,307655
2018-06-15 00:00:00.000000000,1765.0,1770.0,1759.0,1760.0,92064,307655,310426
2018-06-19 00:00:00.000000000,1768.0,1775.0,1756.0,1763.0,164716,310426,282753
2018-06-20 00:00:00.000000000,1763.0,1772.0,1761.0,1770.0,85955,282753,286308
2018-06-21 00:00:00.000000000,1771.0,1775.0,1766.0,1767.0,100597,286308,278053
2018-06-22 00:00:00.000000000,1767.0,1769.0,1763.0,1767.0,56782,278053,270270
2018-06-25 00:00:00.000000000,1767.0,1779.0,1764.0,1776.0,116333,270270,279852
2018-06-26 00:00:00.000000000,1776.0,1784.0,1774.0,1780.0,107064,279852,285224
2018-06-27 00:00:00.000000000,1783.0,1790.0,1779.0,1786.0,108074,285224,280526
2018-06-28 00:00:00.000000000,1785.0,1789.0,1773.0,1781.0,109957,280526,274386
2018-06-29 00:00:00.000000000,1781.0,1788.0,1780.0,1787.0,94938,274386,276595
2018-07-02 00:00:00.000000000,1789.0,1792.0,1783.0,1785.0,79496,276595,279389
2018-07-03 00:00:00.000000000,1784.0,1788.0,1780.0,1786.0,70945,279389,280379
2018-07-04 00:00:00.000000000,1787.0,1790.0,1782.0,1785.0,55464,280379,275211
2018-07-05 00:00:00.000000000,1783.0,1786.0,1774.0,1778.0,104330,275211,269468
2018-07-06 00:00:00.000000000,1779.0,1783.0,1774.0,1779.0,85355,269468,257683
2018-07-09 00:00:00.000000000,1781.0,1787.0,1779.0,1782.0,101771,257683,257742
2018-07-10 00:00:00.000000000,1782.0,1783.0,1776.0,1776.0,64291,257742,242734
2018-07-11 00:00:00.000000000,1774.0,1781.0,1773.0,1773.0,71567,242734,226187
2018-07-12 00:00:00.000000000,1773.0,1775.0,1766.0,1768.0,72722,226187,215838
2018-07-13 00:00:00.000000000,1768.0,1774.0,1766.0,1769.0,47033,215838,208069
2018-07-16 00:00:00.000000000,1772.0,1792.0,1771.0,1785.0,123778,208069,222009
2018-07-17 00:00:00.000000000,1787.0,1789.0,1782.0,1784.0,33815,222009,217189
2018-07-18 00:00:00.000000000,1784.0,1787.0,1782.0,1783.0,21148,217189,218604
2018-07-19 00:00:00.000000000,1784.0,1789.0,1782.0,1783.0,28549,218604,213783
2018-07-20 00:00:00.000000000,1783.0,1788.0,1782.0,1784.0,23493,213783,214851
2018-07-23 00:00:00.000000000,1785.0,1788.0,1762.0,1771.0,62752,214851,196870
2018-07-24 00:00:00.000000000,1771.0,1775.0,1770.0,1774.0,20026,196870,190118
2018-07-25 00:00:00.000000000,1775.0,1778.0,1769.0,1771.0,22176,190118,182689
2018-07-26 00:00:00.000000000,1772.0,1772.0,1767.0,1770.0,18959,182689,178604
2018-07-27 00:00:00.000000000,1768.0,1770.0,1764.0,1765.0,30151,178604,170132
2018-07-30 00:00:00.000000000,1766.0,1775.0,1764.0,1775.0,17631,170132,167377
2018-07-31 00:00:00.000000000,1775.0,1782.0,1773.0,1781.0,27126,167377,160718
2018-08-01 00:00:00.000000000,1781.0,1784.0,1778.0,1782.0,25237,160718,152830
2018-08-02 00:00:00.000000000,1782.0,1785.0,1777.0,1780.0,22046,152830,147326
2018-08-03 00:00:00.000000000,1781.0,1784.0,1776.0,1777.0,23702,147326,142752
2018-08-06 00:00:00.000000000,1778.0,1795.0,1778.0,1793.0,64896,142752,130860
2018-08-07 00:00:00.000000000,1793.0,1798.0,1790.0,1792.0,26247,130860,126779
2018-08-08 00:00:00.000000000,1791.0,1816.0,1790.0,1811.0,52467,126779,122550
2018-08-09 00:00:00.000000000,1808.0,1825.0,1801.0,1802.0,33715,122550,116711
2018-08-10 00:00:00.000000000,1801.0,1812.0,1800.0,1809.0,19560,116711,115593
2018-08-13 00:00:00.000000000,1806.0,1836.0,1802.0,1826.0,44296,115593,112197
2018-08-14 00:00:00.000000000,1827.0,1833.0,1821.0,1824.0,17059,112197,107775
2018-08-15 00:00:00.000000000,1826.0,1836.0,1821.0,1831.0,19845,107775,101991
2018-08-16 00:00:00.000000000,1827.0,1829.0,1817.0,1818.0,30611,101991,86754
2018-08-17 00:00:00.000000000,1816.0,1816.0,1800.0,1802.0,26827,86754,75752
2018-08-20 00:00:00.000000000,1803.0,1815.0,1802.0,1810.0,11101,75752,71628
2018-08-21 00:00:00.000000000,1811.0,1814.0,1805.0,1806.0,7642,71628,68521
2018-08-22 00:00:00.000000000,1806.0,1812.0,1804.0,1811.0,10572,68521,63406
2018-08-23 00:00:00.000000000,1813.0,1822.0,1807.0,1811.0,42366,63406,55080
2018-08-24 00:00:00.000000000,1811.0,1814.0,1807.0,1813.0,6633,55080,51754
2018-08-27 00:00:00.000000000,1814.0,1819.0,1811.0,1813.0,7044,51754,47011
2018-08-28 00:00:00.000000000,1813.0,1818.0,1810.0,1814.0,8329,47011,42128
2018-08-29 00:00:00.000000000,1815.0,1817.0,1813.0,1813.0,7914,42128,37256
2018-08-30 00:00:00.000000000,1813.0,1818.0,1810.0,1818.0,5961,37256,33687
2018-08-31 00:00:00.000000000,1818.0,1827.0,1813.0,1822.0,7396,33687,33298
