datetime,DCE.y1805.open,DCE.y1805.high,DCE.y1805.low,DCE.y1805.close,DCE.y1805.volume,DCE.y1805.open_oi,DCE.y1805.close_oi
2017-07-03 00:00:00.000000000,6170.0,6278.0,6150.0,6242.0,1663,6155,6669
2017-07-04 00:00:00.000000000,6248.0,6250.0,6144.0,6144.0,1190,6669,6967
2017-07-05 00:00:00.000000000,6152.0,6200.0,6152.0,6176.0,608,6967,6897
2017-07-06 00:00:00.000000000,6182.0,6262.0,6182.0,6244.0,1036,6897,7165
2017-07-07 00:00:00.000000000,6230.0,6250.0,6192.0,6230.0,1307,7165,7387
2017-07-10 00:00:00.000000000,6226.0,6346.0,6226.0,6330.0,1642,7387,8009
2017-07-11 00:00:00.000000000,6340.0,6394.0,6308.0,6366.0,1966,8009,8795
2017-07-12 00:00:00.000000000,6354.0,6390.0,6334.0,6352.0,1172,8795,9166
2017-07-13 00:00:00.000000000,6362.0,6370.0,6300.0,6316.0,2696,9166,9558
2017-07-14 00:00:00.000000000,6318.0,6332.0,6244.0,6270.0,1863,9558,9796
2017-07-17 00:00:00.000000000,6290.0,6328.0,6276.0,6290.0,2307,9796,10601
2017-07-18 00:00:00.000000000,6292.0,6352.0,6266.0,6278.0,2817,10601,11045
2017-07-19 00:00:00.000000000,6300.0,6322.0,6252.0,6304.0,1026,11045,11099
2017-07-20 00:00:00.000000000,6312.0,6382.0,6300.0,6358.0,2417,11099,11538
2017-07-21 00:00:00.000000000,6372.0,6408.0,6342.0,6390.0,2884,11538,12868
2017-07-24 00:00:00.000000000,6400.0,6400.0,6300.0,6318.0,1989,12868,13414
2017-07-25 00:00:00.000000000,6332.0,6424.0,6318.0,6420.0,2466,13414,13946
2017-07-26 00:00:00.000000000,6412.0,6442.0,6344.0,6344.0,7180,13946,14150
2017-07-27 00:00:00.000000000,6374.0,6420.0,6350.0,6412.0,2674,14150,14508
2017-07-28 00:00:00.000000000,6416.0,6490.0,6330.0,6346.0,4047,14508,14080
2017-07-31 00:00:00.000000000,6362.0,6456.0,6348.0,6440.0,3907,14080,14359
2017-08-01 00:00:00.000000000,6420.0,6490.0,6420.0,6444.0,3519,14359,15083
2017-08-02 00:00:00.000000000,6438.0,6438.0,6370.0,6392.0,4000,15083,16761
2017-08-03 00:00:00.000000000,6386.0,6428.0,6280.0,6288.0,4311,16761,17055
2017-08-04 00:00:00.000000000,6288.0,6322.0,6252.0,6306.0,3909,17055,17397
2017-08-07 00:00:00.000000000,6308.0,6354.0,6290.0,6292.0,2787,17397,17380
2017-08-08 00:00:00.000000000,6290.0,6394.0,6262.0,6388.0,2790,17380,17666
2017-08-09 00:00:00.000000000,6390.0,6436.0,6380.0,6424.0,3952,17666,18647
