datetime,DCE.p2005.open,DCE.p2005.high,DCE.p2005.low,DCE.p2005.close,DCE.p2005.volume,DCE.p2005.open_oi,DCE.p2005.close_oi
2019-05-20 00:00:00.000000000,4820.0,4830.0,4800.0,4804.0,1060,0,897
2019-05-21 00:00:00.000000000,4804.0,4830.0,4802.0,4816.0,406,897,1173
2019-05-22 00:00:00.000000000,4802.0,4814.0,4762.0,4776.0,348,1173,1284
2019-05-23 00:00:00.000000000,4774.0,4794.0,4730.0,4730.0,795,1284,1371
2019-05-24 00:00:00.000000000,4728.0,4742.0,4716.0,4722.0,511,1371,1665
2019-05-27 00:00:00.000000000,4740.0,4758.0,4712.0,4738.0,813,1665,2198
2019-05-28 00:00:00.000000000,4730.0,4738.0,4716.0,4722.0,886,2198,2377
2019-05-29 00:00:00.000000000,4742.0,4830.0,4736.0,4794.0,2999,2377,4709
2019-05-30 00:00:00.000000000,4812.0,4812.0,4760.0,4764.0,898,4709,5001
2019-05-31 00:00:00.000000000,4782.0,4792.0,4780.0,4784.0,189,5001,4971
2019-06-03 00:00:00.000000000,4760.0,4768.0,4718.0,4720.0,160,4971,4998
2019-06-04 00:00:00.000000000,4720.0,4752.0,4712.0,4740.0,287,4998,4968
2019-06-05 00:00:00.000000000,4740.0,4750.0,4724.0,4740.0,477,4968,4989
2019-06-06 00:00:00.000000000,4750.0,4754.0,4694.0,4724.0,2173,4989,2975
2019-06-10 00:00:00.000000000,4708.0,4742.0,4708.0,4734.0,142,2975,2906
2019-06-11 00:00:00.000000000,4734.0,4750.0,4718.0,4738.0,295,2906,3021
2019-06-12 00:00:00.000000000,4734.0,4744.0,4700.0,4702.0,122,3021,3029
2019-06-13 00:00:00.000000000,4696.0,4742.0,4696.0,4730.0,1241,3029,3837
2019-06-14 00:00:00.000000000,4748.0,4772.0,4744.0,4760.0,339,3837,3949
2019-06-17 00:00:00.000000000,4758.0,4778.0,4752.0,4778.0,749,3949,4172
2019-06-18 00:00:00.000000000,4778.0,4790.0,4758.0,4764.0,399,4172,4326
2019-06-19 00:00:00.000000000,4756.0,4788.0,4730.0,4736.0,2323,4326,4228
2019-06-20 00:00:00.000000000,4752.0,4756.0,4736.0,4736.0,966,4228,4765
2019-06-21 00:00:00.000000000,4742.0,4754.0,4728.0,4736.0,1651,4765,4435
2019-06-24 00:00:00.000000000,4726.0,4744.0,4704.0,4708.0,1521,4435,4585
2019-06-25 00:00:00.000000000,4708.0,4718.0,4702.0,4708.0,562,4585,4898
2019-06-26 00:00:00.000000000,4708.0,4714.0,4684.0,4690.0,1693,4898,5158
2019-06-27 00:00:00.000000000,4698.0,4732.0,4690.0,4700.0,2304,5158,6490
2019-06-28 00:00:00.000000000,4690.0,4698.0,4686.0,4688.0,1576,6490,6650
2019-07-01 00:00:00.000000000,4684.0,4728.0,4664.0,4712.0,3518,6650,6402
2019-07-02 00:00:00.000000000,4712.0,4714.0,4694.0,4708.0,3067,6402,7020
2019-07-03 00:00:00.000000000,4694.0,4724.0,4680.0,4696.0,5787,7020,9176
2019-07-04 00:00:00.000000000,4708.0,4710.0,4688.0,4710.0,5672,9176,9998
2019-07-05 00:00:00.000000000,4712.0,4728.0,4664.0,4670.0,1094,9998,10475
2019-07-08 00:00:00.000000000,4670.0,4696.0,4664.0,4684.0,2085,10475,10959
2019-07-09 00:00:00.000000000,4684.0,4690.0,4630.0,4632.0,880,10959,10780
2019-07-10 00:00:00.000000000,4636.0,4656.0,4628.0,4630.0,2206,10780,10807
2019-07-11 00:00:00.000000000,4632.0,4646.0,4632.0,4642.0,896,10807,10886
2019-07-12 00:00:00.000000000,4642.0,4648.0,4620.0,4634.0,2293,10886,10571
2019-07-15 00:00:00.000000000,4644.0,4674.0,4618.0,4664.0,6159,10571,13038
2019-07-16 00:00:00.000000000,4664.0,4668.0,4640.0,4648.0,3504,13038,13114
2019-07-17 00:00:00.000000000,4634.0,4648.0,4632.0,4644.0,1720,13114,14272
2019-07-18 00:00:00.000000000,4664.0,4666.0,4622.0,4634.0,6312,14272,19193
2019-07-19 00:00:00.000000000,4630.0,4640.0,4620.0,4624.0,1776,19193,19030
2019-07-22 00:00:00.000000000,4620.0,4634.0,4620.0,4630.0,1207,19030,19049
2019-07-23 00:00:00.000000000,4632.0,4642.0,4626.0,4630.0,1460,19049,18617
2019-07-24 00:00:00.000000000,4634.0,4716.0,4626.0,4704.0,3275,18617,19294
2019-07-25 00:00:00.000000000,4696.0,4720.0,4680.0,4704.0,5174,19294,20537
2019-07-26 00:00:00.000000000,4722.0,4736.0,4692.0,4700.0,4051,20537,19959
2019-07-29 00:00:00.000000000,4704.0,4738.0,4694.0,4722.0,4195,19959,21946
2019-07-30 00:00:00.000000000,4730.0,4754.0,4722.0,4730.0,1295,21946,21866
2019-07-31 00:00:00.000000000,4724.0,4740.0,4706.0,4722.0,2526,21866,22368
2019-08-01 00:00:00.000000000,4720.0,4722.0,4678.0,4696.0,5676,22368,23874
2019-08-02 00:00:00.000000000,4694.0,4730.0,4684.0,4716.0,4112,23874,25952
2019-08-05 00:00:00.000000000,4718.0,4800.0,4714.0,4798.0,4690,25952,28331
2019-08-06 00:00:00.000000000,4810.0,4836.0,4790.0,4814.0,3985,28331,29451
2019-08-07 00:00:00.000000000,4806.0,4818.0,4774.0,4814.0,6540,29451,31078
2019-08-08 00:00:00.000000000,4802.0,4846.0,4790.0,4842.0,5272,31078,32727
2019-08-09 00:00:00.000000000,4856.0,5002.0,4856.0,4966.0,11354,32727,32555
2019-08-12 00:00:00.000000000,4976.0,5048.0,4958.0,5016.0,17015,32555,28058
2019-08-13 00:00:00.000000000,5016.0,5062.0,5008.0,5050.0,14350,28058,28222
2019-08-14 00:00:00.000000000,5036.0,5048.0,4976.0,5020.0,21978,28222,23103
2019-08-15 00:00:00.000000000,5018.0,5046.0,4972.0,4984.0,13068,23103,22627
2019-08-16 00:00:00.000000000,4970.0,5030.0,4934.0,4962.0,18062,22627,24140
2019-08-19 00:00:00.000000000,4968.0,4984.0,4896.0,4918.0,6605,24140,25756
2019-08-20 00:00:00.000000000,4910.0,4944.0,4880.0,4938.0,8682,25756,27240
2019-08-21 00:00:00.000000000,4914.0,4960.0,4902.0,4908.0,8846,27240,29467
2019-08-22 00:00:00.000000000,4928.0,5014.0,4928.0,5000.0,13848,29467,29135
2019-08-23 00:00:00.000000000,5024.0,5044.0,4978.0,5022.0,17015,29135,30485
2019-08-26 00:00:00.000000000,5000.0,5162.0,4992.0,5124.0,18721,30485,33514
2019-08-27 00:00:00.000000000,5108.0,5118.0,5010.0,5016.0,30262,33514,34107
2019-08-28 00:00:00.000000000,5020.0,5058.0,4994.0,5046.0,18432,34107,35082
2019-08-29 00:00:00.000000000,5046.0,5066.0,4982.0,5012.0,21304,35082,36181
2019-08-30 00:00:00.000000000,4980.0,5016.0,4940.0,4950.0,27336,36181,35923
2019-09-02 00:00:00.000000000,4960.0,5060.0,4960.0,5034.0,19292,35923,36435
2019-09-03 00:00:00.000000000,5050.0,5050.0,4980.0,5006.0,21075,36435,40277
2019-09-04 00:00:00.000000000,4976.0,5046.0,4952.0,5034.0,34346,40277,47058
2019-09-05 00:00:00.000000000,5024.0,5036.0,4962.0,4978.0,36991,47058,50477
2019-09-06 00:00:00.000000000,4992.0,5010.0,4912.0,4992.0,32329,50477,55238
2019-09-09 00:00:00.000000000,4998.0,5056.0,4996.0,5014.0,24100,55238,55618
2019-09-10 00:00:00.000000000,5010.0,5074.0,4968.0,5000.0,36935,55618,53965
2019-09-11 00:00:00.000000000,5028.0,5072.0,5006.0,5044.0,37688,53965,55052
2019-09-12 00:00:00.000000000,5040.0,5044.0,4978.0,4990.0,35110,55052,60009
2019-09-16 00:00:00.000000000,5050.0,5142.0,5030.0,5104.0,33823,60009,59452
2019-09-17 00:00:00.000000000,5102.0,5280.0,5102.0,5228.0,59018,59452,59521
2019-09-18 00:00:00.000000000,5190.0,5210.0,5116.0,5120.0,38764,59521,61355
2019-09-19 00:00:00.000000000,5112.0,5162.0,5078.0,5080.0,50160,61355,64236
2019-09-20 00:00:00.000000000,5088.0,5098.0,5030.0,5048.0,30845,64236,65557
2019-09-23 00:00:00.000000000,5060.0,5092.0,5042.0,5070.0,24613,65557,65023
2019-09-24 00:00:00.000000000,5070.0,5070.0,4976.0,4998.0,47481,65023,69079
2019-09-25 00:00:00.000000000,4992.0,5026.0,4978.0,5006.0,36684,69079,71415
2019-09-26 00:00:00.000000000,4992.0,5014.0,4978.0,5006.0,28550,71415,68834
2019-09-27 00:00:00.000000000,5036.0,5036.0,4920.0,4968.0,49763,68834,66754
2019-09-30 00:00:00.000000000,4960.0,4984.0,4904.0,4936.0,27886,66754,63361
2019-10-08 00:00:00.000000000,4980.0,5002.0,4946.0,4994.0,24564,63361,65388
2019-10-09 00:00:00.000000000,4992.0,5082.0,4988.0,5072.0,35240,65388,69036
2019-10-10 00:00:00.000000000,5060.0,5098.0,5036.0,5070.0,35351,69036,71166
2019-10-11 00:00:00.000000000,5072.0,5144.0,5056.0,5118.0,46440,71166,80882
2019-10-14 00:00:00.000000000,5096.0,5096.0,4976.0,4980.0,51288,80882,86223
2019-10-15 00:00:00.000000000,4970.0,5004.0,4962.0,4980.0,23495,86223,88336
2019-10-16 00:00:00.000000000,4998.0,5080.0,4998.0,5076.0,64658,88336,90208
2019-10-17 00:00:00.000000000,5078.0,5114.0,5060.0,5078.0,39574,90208,90010
2019-10-18 00:00:00.000000000,5094.0,5108.0,5056.0,5086.0,29264,90010,90382
2019-10-21 00:00:00.000000000,5106.0,5156.0,5096.0,5138.0,49913,90382,97164
2019-10-22 00:00:00.000000000,5104.0,5126.0,5084.0,5120.0,37954,97164,101347
