datetime,DCE.y2005.open,DCE.y2005.high,DCE.y2005.low,DCE.y2005.close,DCE.y2005.volume,DCE.y2005.open_oi,DCE.y2005.close_oi
2019-05-20 00:00:00.000000000,5760.0,5766.0,5712.0,5714.0,428,0,310
2019-05-21 00:00:00.000000000,5706.0,5742.0,5706.0,5724.0,434,310,602
2019-05-22 00:00:00.000000000,5728.0,5728.0,5624.0,5644.0,631,602,916
2019-05-23 00:00:00.000000000,5644.0,5662.0,5600.0,5602.0,440,916,1138
2019-05-24 00:00:00.000000000,5584.0,5614.0,5578.0,5600.0,201,1138,1254
2019-05-27 00:00:00.000000000,5620.0,5644.0,5602.0,5622.0,460,1254,1558
2019-05-28 00:00:00.000000000,5630.0,5646.0,5618.0,5644.0,311,1558,1444
2019-05-29 00:00:00.000000000,5656.0,5812.0,5642.0,5776.0,1675,1444,2631
2019-05-30 00:00:00.000000000,5780.0,5782.0,5710.0,5720.0,918,2631,2846
2019-05-31 00:00:00.000000000,5738.0,5762.0,5730.0,5740.0,257,2846,2891
2019-06-03 00:00:00.000000000,5724.0,5724.0,5652.0,5656.0,532,2891,3031
2019-06-04 00:00:00.000000000,5656.0,5710.0,5650.0,5692.0,775,3031,3521
2019-06-05 00:00:00.000000000,5692.0,5718.0,5670.0,5690.0,1666,3521,3982
2019-06-06 00:00:00.000000000,5690.0,5720.0,5650.0,5664.0,2013,3982,4944
2019-06-10 00:00:00.000000000,5672.0,5702.0,5662.0,5690.0,1020,4944,5039
2019-06-11 00:00:00.000000000,5678.0,5716.0,5678.0,5702.0,627,5039,5293
2019-06-12 00:00:00.000000000,5718.0,5718.0,5646.0,5646.0,513,5293,5416
2019-06-13 00:00:00.000000000,5660.0,5704.0,5650.0,5700.0,1694,5416,6521
2019-06-14 00:00:00.000000000,5706.0,5766.0,5700.0,5718.0,868,6521,6696
2019-06-17 00:00:00.000000000,5726.0,5764.0,5714.0,5754.0,1489,6696,6818
2019-06-18 00:00:00.000000000,5768.0,5768.0,5734.0,5746.0,602,6818,6788
2019-06-19 00:00:00.000000000,5746.0,5746.0,5694.0,5710.0,1916,6788,7390
2019-06-20 00:00:00.000000000,5724.0,5736.0,5702.0,5702.0,566,7390,7371
2019-06-21 00:00:00.000000000,5702.0,5744.0,5684.0,5690.0,1088,7371,7818
2019-06-24 00:00:00.000000000,5682.0,5708.0,5654.0,5660.0,1494,7818,8466
2019-06-25 00:00:00.000000000,5674.0,5688.0,5664.0,5686.0,639,8466,8754
2019-06-26 00:00:00.000000000,5662.0,5682.0,5588.0,5644.0,1666,8754,8945
2019-06-27 00:00:00.000000000,5636.0,5702.0,5636.0,5698.0,2639,8945,9354
2019-06-28 00:00:00.000000000,5680.0,5692.0,5654.0,5666.0,774,9354,9625
2019-07-01 00:00:00.000000000,5658.0,5746.0,5630.0,5714.0,2096,9625,10173
2019-07-02 00:00:00.000000000,5716.0,5766.0,5666.0,5710.0,2226,10173,9988
2019-07-03 00:00:00.000000000,5710.0,5726.0,5646.0,5678.0,2321,9988,11166
2019-07-04 00:00:00.000000000,5680.0,5722.0,5678.0,5716.0,2304,11166,12542
2019-07-05 00:00:00.000000000,5718.0,5732.0,5700.0,5716.0,3014,12542,13919
2019-07-08 00:00:00.000000000,5708.0,5756.0,5700.0,5740.0,3719,13919,16013
2019-07-09 00:00:00.000000000,5740.0,5762.0,5682.0,5692.0,4376,16013,15902
2019-07-10 00:00:00.000000000,5692.0,5736.0,5692.0,5710.0,899,15902,15919
2019-07-11 00:00:00.000000000,5730.0,5744.0,5698.0,5718.0,1849,15919,17071
2019-07-12 00:00:00.000000000,5716.0,5728.0,5670.0,5682.0,2104,17071,18082
2019-07-15 00:00:00.000000000,5686.0,5742.0,5680.0,5730.0,3399,18082,16934
2019-07-16 00:00:00.000000000,5718.0,5748.0,5690.0,5700.0,2304,16934,18819
2019-07-17 00:00:00.000000000,5700.0,5722.0,5676.0,5690.0,7899,18819,23152
2019-07-18 00:00:00.000000000,5716.0,5716.0,5648.0,5676.0,3552,23152,24637
2019-07-19 00:00:00.000000000,5638.0,5712.0,5638.0,5656.0,2325,24637,25775
2019-07-22 00:00:00.000000000,5680.0,5686.0,5652.0,5680.0,3472,25775,26402
2019-07-23 00:00:00.000000000,5674.0,5696.0,5670.0,5692.0,3746,26402,27937
2019-07-24 00:00:00.000000000,5684.0,5736.0,5674.0,5722.0,5500,27937,29503
2019-07-25 00:00:00.000000000,5732.0,5792.0,5732.0,5770.0,6403,29503,31495
2019-07-26 00:00:00.000000000,5784.0,5796.0,5750.0,5770.0,6262,31495,34526
2019-07-29 00:00:00.000000000,5770.0,5846.0,5752.0,5804.0,7769,34526,38224
2019-07-30 00:00:00.000000000,5806.0,5836.0,5792.0,5802.0,3234,38224,39169
2019-07-31 00:00:00.000000000,5812.0,5824.0,5770.0,5780.0,5777,39169,41447
2019-08-01 00:00:00.000000000,5778.0,5792.0,5732.0,5746.0,8623,41447,42483
2019-08-02 00:00:00.000000000,5754.0,5798.0,5700.0,5760.0,11335,42483,43268
2019-08-05 00:00:00.000000000,5770.0,5906.0,5770.0,5896.0,14705,43268,43458
2019-08-06 00:00:00.000000000,5890.0,5938.0,5880.0,5916.0,12229,43458,43957
2019-08-07 00:00:00.000000000,5906.0,5934.0,5856.0,5926.0,17422,43957,50309
2019-08-08 00:00:00.000000000,5926.0,6006.0,5900.0,5994.0,25811,50309,62335
2019-08-09 00:00:00.000000000,5998.0,6198.0,5998.0,6182.0,29908,62335,65720
2019-08-12 00:00:00.000000000,6182.0,6256.0,6144.0,6188.0,29610,65720,68011
2019-08-13 00:00:00.000000000,6204.0,6244.0,6164.0,6232.0,21670,68011,73078
2019-08-14 00:00:00.000000000,6222.0,6228.0,6100.0,6178.0,32625,73078,77975
2019-08-15 00:00:00.000000000,6168.0,6216.0,6146.0,6168.0,21985,77975,78745
2019-08-16 00:00:00.000000000,6182.0,6272.0,6120.0,6172.0,53634,78745,86172
2019-08-19 00:00:00.000000000,6188.0,6196.0,6114.0,6132.0,31385,86172,89456
2019-08-20 00:00:00.000000000,6120.0,6168.0,6084.0,6166.0,20685,89456,92573
2019-08-21 00:00:00.000000000,6160.0,6198.0,6106.0,6134.0,32288,92573,95526
2019-08-22 00:00:00.000000000,6144.0,6194.0,6140.0,6176.0,40586,95526,93405
2019-08-23 00:00:00.000000000,6186.0,6210.0,6134.0,6168.0,29450,93405,94807
2019-08-26 00:00:00.000000000,6174.0,6288.0,6158.0,6224.0,51025,94807,94512
2019-08-27 00:00:00.000000000,6216.0,6218.0,6100.0,6110.0,48679,94512,96639
2019-08-28 00:00:00.000000000,6110.0,6124.0,6064.0,6100.0,28862,96639,98397
2019-08-29 00:00:00.000000000,6102.0,6124.0,6068.0,6100.0,34321,98397,101095
